id,name,artist,time,date,y-channel,t-account
kpHKqoEqByM,♡,将星アーサー,4:25,2019/03/27,UCDN3g0e86s64dvG6udZr5EA,
VGbmpt6h-9U,Vtuber Life,小山内めい,4:20,2018/07/22,UCZx7wgGNs2UFyRRtLoNur9Q,osanai_mei
WjiCDmZyDkU,Saita!,小山内めい・バーチャルねこ,2:23,2019/02/22,UCKDHdDpoE9lurDuyAGAuNnw,neko_vtuber
MFWtsp2MEgw,BEAM!!,水月せな&星野光,4:34,2019/05/20,UCUHsCratmjA7dPbAulQi7dQ,Starlight_chann
sOFbm_XHflA,Pisces,雛見沢くるみ,6:11,2019/07/21,UC1ngKt9O50C2Zz5OfqZtbwg,kennamba
iozEj0c8oaw,あこがれ,雛見沢くるみ,1:59,2019/07/21,UC1ngKt9O50C2Zz5OfqZtbwg,kennamba
2018/11/29,青の平行線,雛瀬さくら,6:29,2018/11/29,UC87CjwiJ7_SRvuxQMQ-q-6w,hinase_sakura
3cqV5BKJHyk,comet,星街すいせい,4:04,2018/11/22,UC5CwaMl1eIgY8h02uZw7u8A,suisei_hosimati
zLak0dxBKpM,天球、彗星は夜を跨いで,星街すいせい,4:19,2019/03/22,UC5CwaMl1eIgY8h02uZw7u8A,suisei_hosimati
FFtKDxZGs8A,ネオンライト,星宮とと,4:28,2019/04/08,UCzeNz4SVio_XLLYQLX8DhJw,hoshimiya_toto
o8suFJFsbao,青空ステージ (デモver),青空ラビッツ(響木アオ・ときのそら),2:08,2018/07/29,UCNwo7eikmX5HPs7NedWVBgw,hibiki_ao
JzDMDOYoKi4,いつも私が,天羽よつは,3:24,2019/03/29,UCO2bnzPlCau6YzLoSt8EDdA,amahane428
lB0TkRmEXQA,フーアーユーなんて言わないで,天神 子兎音,3:22,2018/07/26,UCAr7rLi_Wn09G-XfTA07d4g,kotonegami
2d_uWwQIsuA,夏の幽霊船,天鳥ココロ,5:02,2018/09/17,UCzqC42i_sDlRBjRtkOwDXvg,kokoro_amatori
fgsN49a-vJw,プレパラート,天鳥ココロ,5:52,2018/11/10,UCzqC42i_sDlRBjRtkOwDXvg,kokoro_amatori
SEjFNuMhb6I,ぐみのうた,東雲めぐ,1:59,2018/08/16,UCNA0XC_zxS63d4Q-JMIMyug,megu_shinonome
oPv0bK-jjbU,虹のまほう,虹乃まほろ,1:36,2018/10/03,UCtCXaX0zEvYSgdkp-Po24TQ,nijinomahoro
cc7OnJYMWsw,馬馬馬越,馬越健太郎,1:30,2017/12/28,UC2jBqh7fCEPuTdpwKmxHvjA,umakoshi_dream
wP8kws6f6yI,雨と重なった,八月二雪,4:46,2018/08/02,UCHV-tYWznbEMFWoT0_oKmLQ,8gatsu2yuki
29j460cy6xY,Red Star,樋口楓,4:24,2019/04/28,UCsg-YqdqQ-KFF0LNk23BY4A,HiguchiKaede
NT9ZqcskfE4,君のミライ,富士葵,4:18,2018/8/20,UC3Ruo_5doyu514PesWGvCAg,fuji_aoi_0618
XZCVNheBGOw,はじまりの音 (Short Ver.),富士葵,2:08,2018/11/06,UC3Ruo_5doyu514PesWGvCAg,fuji_aoi_0618
nLMRAKeoif0,ミルクティ,富士葵,6:14,2019/3/16,UC3Ruo_5doyu514PesWGvCAg,fuji_aoi_0618
o_ve3cMTq-E,エールアンドエール (Short Ver.),富士葵,1:48,2019/07/22,UC3Ruo_5doyu514PesWGvCAg,fuji_aoi_0618
0t0tdVUq10s,ふわり、蜜色の恋,泡沫こまり,4:58,2019/06/22,UC5jziDraRarGqFEBi86u0CQ,x_apple_doll_xx
Td1gtiz9nEE,すばらしきバーチャルライフ,魔竜,1:04,2019/07/31,UCFk7jsbZ8r3ipjCYJZWq3Ng,maryu_melon_v
YtJObQFATaA,バーチャリアル,眠河ゆめな,2:40,2018/07/13,UCJEpGdadojQ-510MGZe3Y8A,nemu_kawa
dYOG4hQyqiA,Merry Halloween,眠河ゆめな,3:03,2018/10/20,UCJEpGdadojQ-510MGZe3Y8A,nemu_kawa
-DK1-JlhfrQ,Wish!!,眠河ゆめな,4:13,2019/04/05,UCJEpGdadojQ-510MGZe3Y8A,nemu_kawa
tElBFCOCBp4,バツ,眠河ゆめな,2:58,2019/08/01,UCJEpGdadojQ-510MGZe3Y8A,nemu_kawa
5QpoKqa6xLc,死にたいらしい,勇魚,3:11,2018/11/16,UCqTEvChhKAh0fmpACZ0MvsA,1202Isana
-oIh7rIG6V8,毎日がエブリデイ,雷輝アンタレス,3:24,2018/07/22,UC6UwdMiDJfyjEipxJ66ceUg,antares_eleki
s6vHVIfignM,ギンガの果てまでガガガガーン!!!,雷輝アンタレス,3:08,2019/07/20,UC6UwdMiDJfyjEipxJ66ceUg,antares_eleki
sq7rVi5wX5E,ルキロキ☆ラッキー,流石乃ルキ／流石乃ロキ,3:19,2019/02/27,UCf3DHSmd2DhZcoq2gwYXCIA,RukiRoki_ch
NFynHunb5fI,イイカンジ！！,流石乃ルキ／流石乃ロキ,3:40,2019/06/09,UCf3DHSmd2DhZcoq2gwYXCIA,RukiRoki_ch
q2a7k1Z_Y4o,通常戦闘,冷水ぬるめ,1:30,2018/07/22,UCVHykctvqUX1fhARnxv10ZA,nurunuru_nurume
R7wscnHAe0U,15秒でわかる冷水ぬるめ,冷水ぬるめ,0:18,2018/10/03,UCVHykctvqUX1fhARnxv10ZA,nurunuru_nurume
r644ZIYHApw,ウルトラトルネード,冷水ぬるめ,1:36,2019/01/22,UCVHykctvqUX1fhARnxv10ZA,nurunuru_nurume
LdiG84rhn0E,千歌繚乱,冷水ぬるめ,3:02,2019/03/25,UCVHykctvqUX1fhARnxv10ZA,nurunuru_nurume
